"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1914,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1923,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1879,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1883,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1864,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1847,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1825,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1826,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1811,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1833,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1896,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1818,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1816,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1806,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1817,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1817,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1799,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1784,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1790,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1779,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1800,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1806,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1776,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1763,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1777,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1756,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1770,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1407,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1414,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1403,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1400,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1402,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1402,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1410,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1390,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1389,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1392,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1375,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1388,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1387,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1370,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1411,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1407,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1416,,
"DNK","Denmark","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1466,,
"DNK","Denmark","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1469,,
"DNK","Denmark","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1463,,
"DNK","Denmark","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1458,,
"DNK","Denmark","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1458,,
"DNK","Denmark","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1451,,
"DNK","Denmark","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1456,,
"DNK","Denmark","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1433,,
"DNK","Denmark","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1430,,
"DNK","Denmark","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1417,,
"DNK","Denmark","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1422,,
"DNK","Denmark","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1437,,
"DNK","Denmark","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1423,,
"DNK","Denmark","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1426,,
"DNK","Denmark","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1414,,
"DNK","Denmark","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1412,,
"DNK","Denmark","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1410,,
"FIN","Finland","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1638,,
"FIN","Finland","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1616,,
"FIN","Finland","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1609,,
"FIN","Finland","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1596,,
"FIN","Finland","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1622,,
"FIN","Finland","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1605,,
"FIN","Finland","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1600,,
"FIN","Finland","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1594,,
"FIN","Finland","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1610,,
"FIN","Finland","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1555,,
"FIN","Finland","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1584,,
"FIN","Finland","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1578,,
"FIN","Finland","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1575,,
"FIN","Finland","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1568,,
"FIN","Finland","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1572,,
"FIN","Finland","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1574,,
"FIN","Finland","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1602,,
"FIN","Finland","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1742,,
"FIN","Finland","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1723,,
"FIN","Finland","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1714,,
"FIN","Finland","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1705,,
